"LocCode","VegType","Year","Obj2Num","Obj2Den","Obj2PercentCover"
"AC-1-1","S",2007,0,0,0
"AC-1-1","S",2008,0,0,0
"AC-1-1","S",2009,0,0,0
"AC-1-1","S",2012,0,42.11,0
"AC-1-1","S",2013,0,0,0
"AC-1-1","S",2014,0,0,0
"AC-1-1","S",2015,0,0,0
"AC-1-10","S",2008,13.47,35.11,38.37
"AC-1-10","S",2009,16.17,49.05,32.97
"AC-1-10","S",2012,20.3,75.77,26.79
"AC-1-10","S",2013,22.31,70.73,31.54
"AC-1-10","S",2014,19.67,83.07,23.68
"AC-1-10","S",2015,22.93,91.29,25.12
"AC-1-11","S",2008,4.51,4.51,100
"AC-1-11","S",2009,0,0,0
"AC-1-11","S",2012,0,0,0
"AC-1-11","S",2013,0,7.67,0
"AC-1-11","S",2014,2.42,7.1,34.08
"AC-1-11","S",2015,0,2.88,0
