"","parm","pCoverHu","pCoverHl","pCoverHa","pCoverSu","pCoverSl","pCoverSa","pCoverTu","pCoverTl","pCoverTa","pCoverDu","pCoverDl","pCoverDa","pCoverUu","pCoverUl","pCoverUa"
"1","sigma_b","0.32","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.08","0.01","0.00","0.00","0.00"
"2","sigma_a","19.02","0.92","0.21","8.98","1.77","0.17","24.59","2.52","0.34","0.33","0.65","0.03","4.81","1.42","0.10"
"3","sigma_t","0.43","0.02","0.00","0.08","0.03","0.00","0.03","0.02","0.00","0.04","0.00","0.00","0.12","0.08","0.00"
"4","rho_at","-0.12","-0.44","-0.26","1.00","-1.00","1.00","-1.00","-1.00","-1.00","0.40","1.00","0.38","-0.33","-0.21","-0.17"
"5","sigma_e","1.31","0.06","0.01","2.72","0.67","0.05","3.17","0.44","0.04","0.55","0.33","0.02","0.41","0.28","0.01"
"6","beta0","53.34","0.19","0.83","8.46","-3.31","0.25","39.67","-0.46","0.68","1.17","-4.56","0.11","3.15","-4.20","0.15"
"7","se_beta0","3.61","0.17","0.04","1.72","0.35","0.03","4.59","0.47","0.06","0.16","0.14","0.01","0.98","0.30","0.02"
"8","beta1","-0.52","-0.03","-0.01","0.26","0.06","0.01","0.19","0.01","0.00","0.05","0.03","0.00","0.02","0.01","0.00"
"9","se_beta1","0.10","0.00","0.00","0.08","0.02","0.00","0.10","0.01","0.00","0.03","0.01","0.00","0.03","0.02","0.00"
"10","tStat","-5.11","-5.29","-5.31","3.11","2.66","3.67","1.93","0.81","1.66","1.58","1.97","1.92","0.61","0.71","0.62"
"11","DDF","20.00","24.99","20.89","3.92","4.17","3.67","3.53","4.18","3.82","5.96","4.95","5.22","18.77","17.35","16.90"
"12","p","0.0001","0.0000","0.0000","0.0367","0.0541","0.0248","0.1352","0.4590","0.1746","0.1666","0.1066","0.1105","0.5466","0.4863","0.5424"
"13","logLik","-343.14","61.86","256.55","-397.74","-193.21","162.05","-430.58","-154.06","150.50","-143.19","-90.77","310.43","-156.61","-93.54","254.33"
