"LocCode","UnitCode","VegType","Panel_type","Origin","Year","SegLenM","TransectLenM","pCoverEpsilon","WYear","pCoveru","pCoverl","pCovera"
"AC.1-10","AC","H","Annual","E",2008,767.66,1166.66,65.8,1,65.8,0.654394194262712,0.946153402166559
"AC.1-10","AC","H","Annual","E",2009,623.67,1147.51,54.35,2,54.35,0.174441006526241,0.828953226401742
"AC.1-10","AC","H","Annual","E",2012,952.41,1124.01,84.73,5,84.73,1.71357961097983,1.16933002818221
"AC.1-10","AC","H","Annual","E",2013,741.01,1107.01,66.94,6,66.94,0.705472603390302,0.958218749971412
"AC.1-10","AC","H","Annual","E",2014,710.83,1119.27,63.51,7,63.51,0.554159123366527,0.922198539380583
"AC.1-10","AC","H","Annual","E",2015,723.59,1097.81,65.91,8,65.91,0.659286088914817,0.947313260331116
"AC.1-11","AC","H","Annual","E",2008,182.03,214.25,84.96,1,84.96,1.73146723897193,1.17253710672765
"AC.1-11","AC","H","Annual","E",2009,204.62,241.62,84.69,2,84.69,1.71049132126392,1.16877430438209
"AC.1-11","AC","H","Annual","E",2012,173.75,228.1,76.17,5,76.17,1.16202239327405,1.06081630616683
"AC.1-11","AC","H","Annual","E",2013,166.6,211.8,78.66,6,78.66,1.30455152113006,1.09060104747823
"AC.1-11","AC","H","Annual","E",2014,169.71,215.38,78.8,7,78.8,1.31291181518587,1.09231163261577
"AC.1-11","AC","H","Annual","E",2015,163.73,216.91,75.48,8,75.48,1.12437860943234,1.05275807958296
"AC.1-12","AC","H","Annual","E",2008,496.58,528.96,93.88,1,93.88,2.73045527445859,1.32081451386336
"AC.1-12","AC","H","Annual","E",2009,295.08,496.92,59.38,2,59.38,0.379696913183375,0.879757259760888
"AC.1-12","AC","H","Annual","E",2012,354.82,395.67,89.68,5,89.68,2.16216401871049,1.24374973700821
"AC.1-12","AC","H","Annual","E",2013,347.56,412.08,84.34,6,84.34,1.68374655775576,1.16393679449645
"AC.1-12","AC","H","Annual","E",2015,184.36,358.07,51.49,8,51.49,0.059617651800925,0.800300369578525
"AC.1-13","AC","H","Annual","E",2008,768.45,849.31,90.48,1,90.48,2.25173398300459,1.25713333470879
"AC.1-13","AC","H","Annual","E",2009,788.14,895.87,87.97,2,87.97,1.989592317278,1.21659337663539
"AC.1-13","AC","H","Annual","E",2012,752.26,870.95,86.37,5,86.37,1.84636714758375,1.19266086083709
"AC.1-13","AC","H","Annual","E",2013,714.72,846.43,84.44,6,84.44,1.69133770422987,1.16531439586866
"AC.1-13","AC","H","Annual","E",2014,788.76,864.78,91.21,7,91.21,2.33954982849498,1.26979219463622
"AC.1-13","AC","H","Annual","E",2015,746.46,838.39,89.03,8,89.03,2.09380911729844,1.23321076097616
"AC.1-14","AC","H","Annual","E",2008,243.37,280.96,86.62,1,86.62,1.8677696810864,1.19631825272617
"AC.1-14","AC","H","Annual","E",2009,234.6,290.6,80.73,2,80.73,1.43256077098065,1.11633755934862
"AC.1-14","AC","H","Annual","E",2012,218.89,237.4,92.2,5,92.2,2.469836396867,1.28774713582023
"AC.1-14","AC","H","Annual","E",2013,248.72,282.12,88.16,6,88.16,2.00766971594874,1.2195236889884
"AC.1-14","AC","H","Annual","E",2014,227.9,264.78,86.07,7,86.07,1.82111613086967,1.18830906459629
"AC.1-14","AC","H","Annual","E",2015,223.96,257.99,86.81,8,86.81,1.88426285567449,1.19911722289211
"AC.1-15","AC","H","Annual","E",2008,714.96,809.58,88.31,1,88.31,2.02211957599673,1.22185149562434
"AC.1-15","AC","H","Annual","E",2009,625.4,787.13,79.45,2,79.45,1.35226695204048,1.10030859436137
"AC.1-15","AC","H","Annual","E",2012,580.87,728.16,79.77,5,79.77,1.37198084274338,1.10427987473169
"AC.1-15","AC","H","Annual","E",2013,557.99,731.5,76.28,6,76.28,1.16809220660269,1.06210828074588
"AC.1-15","AC","H","Annual","E",2015,576.06,696.77,82.68,8,82.68,1.56311583167928,1.14156383512117
"AC.1-16","AC","H","Annual","E",2008,960.46,1103.89,87.01,1,87.01,1.90184322389543,1.2020820421559
"AC.1-16","AC","H","Annual","E",2009,867.46,1107.15,78.35,2,78.35,1.28618051435353,1.08682778659201
"AC.1-16","AC","H","Annual","E",2012,874.76,1082.22,80.83,5,80.83,1.4390016266882,1.11760650119107
"AC.1-16","AC","H","Annual","E",2013,884.92,1077.54,82.12,6,82.12,1.52449882240537,1.13421107321512
"AC.1-16","AC","H","Annual","E",2014,794.43,1078.47,73.66,7,73.66,1.02837121470178,1.03185799875442
"AC.1-16","AC","H","Annual","E",2015,725.53,1081.26,67.1,8,67.1,0.71271138620631,0.959920370598972
"AC.1-17","AC","H","Annual","E",2008,221,234.1,94.4,1,94.4,2.82477447541035,1.33188687816879
"AC.1-17","AC","H","Annual","E",2009,225.32,229.41,98.22,2,98.22,4.0105964963071,1.43698067907018
"AC.1-17","AC","H","Annual","E",2012,216.88,233.92,92.72,5,92.72,2.5444533368229,1.29759568433278
"AC.1-17","AC","H","Annual","E",2013,207.28,216.63,95.68,6,95.68,3.0977538879463,1.36142387539416
"AC.1-17","AC","H","Annual","E",2014,213.14,213.14,99.42,7,100,5.1440804761082,1.5707963267949
"AC.1-17","AC","H","Annual","E",2015,214.06,222.5,96.21,8,96.21,3.23416728327884,1.37486592106194
