"LocCode","UnitCode","CoverClass","Year","SegLenM","TransectLenM","pCoverEpsilon","Panel_type","WYear","pCoveru","pCoverl","pCovera"
"AC.1-10","AC","0-10%",2008,290.24,399,72.74,"Annual",1,72.74,0.981471013290456,1.02147197936123
"AC.1-10","AC","0-10%",2009,240.37,523.84,45.89,"Annual",2,45.89,-0.164771783247902,0.744251737743633
"AC.1-10","AC","0-10%",2012,79.37,171.6,46.25,"Annual",5,46.25,-0.150282203049338,0.74786291785909
"AC.1-10","AC","0-10%",2013,75.17,366,20.54,"Annual",6,20.54,-1.35287954588604,0.470363979267514
"AC.1-10","AC","0-10%",2014,137.2,408.44,33.59,"Annual",7,33.59,-0.681619243928421,0.618199467930185
"AC.1-10","AC","0-10%",2015,207.33,374.22,55.4,"Annual",8,55.4,0.21684573472722,0.839503694251608
"AC.1-11","AC","0-10%",2008,29.4,32.22,91.25,"Annual",1,91.25,2.34454929209308,1.27049926336187
"AC.1-11","AC","0-10%",2009,37,37,99.41,"Annual",2,100,5.12688545430642,1.5707963267949
"AC.1-11","AC","0-10%",2012,32.87,54.35,60.48,"Annual",5,60.48,0.42550585899161,0.890981090821418
"AC.1-11","AC","0-10%",2013,32.4,45.2,71.68,"Annual",6,71.68,0.928643499841156,1.00964018725927
"AC.1-11","AC","0-10%",2014,39.95,45.67,87.48,"Annual",7,87.48,1.94408283013662,1.20912693489061
"AC.1-11","AC","0-10%",2015,40.56,53.18,76.27,"Annual",8,76.27,1.16753960572847,1.06199074342486
"AC.1-12","AC","0-10%",2008,2.38,32.38,7.35,"Annual",1,7.35,-2.53412863950662,0.274544822177013
"AC.1-12","AC","0-10%",2009,108.2,201.84,53.61,"Annual",2,53.61,0.144651699075794,0.821529601120011
"AC.1-12","AC","0-10%",2012,24.06,40.85,58.9,"Annual",5,58.9,0.359832969155352,0.874874972767537
"AC.1-12","AC","0-10%",2013,13.79,64.52,21.37,"Annual",6,21.37,-1.30276523667237,0.480561300260609
"AC.1-12","AC","0-10%",2015,7.68,173.71,4.42,"Annual",8,4.42,-3.07382389706041,0.211818353745598
"AC.1-13","AC","0-10%",2008,61.39,80.86,75.92,"Annual",1,75.92,1.14829853386105,1.05788758579765
"AC.1-13","AC","0-10%",2009,61.4,107.73,56.99,"Annual",2,56.99,0.281443167051263,0.855527877548435
"AC.1-13","AC","0-10%",2012,18.41,118.69,15.51,"Annual",5,15.51,-1.69514820697631,0.404791776758792
"AC.1-13","AC","0-10%",2013,43.7,131.71,33.18,"Annual",6,33.18,-0.700055152166312,0.61385242397273
"AC.1-13","AC","0-10%",2014,29.78,76.02,39.17,"Annual",7,39.17,-0.440171940654874,0.676232943572815
"AC.1-13","AC","0-10%",2015,42.48,91.93,46.21,"Annual",8,46.21,-0.151891351402976,0.747461775944907
"AC.1-14","AC","0-10%",2008,34.27,37.59,91.17,"Annual",1,91.17,2.33457088098094,1.26908657818453
"AC.1-14","AC","0-10%",2009,45,56,80.36,"Annual",2,80.36,1.40894823702041,1.11166407037049
"AC.1-14","AC","0-10%",2012,18.51,18.51,99.41,"Annual",5,100,5.12688545430642,1.5707963267949
"AC.1-14","AC","0-10%",2013,33.4,33.4,99.41,"Annual",6,100,5.12688545430642,1.5707963267949
"AC.1-14","AC","0-10%",2014,32.41,36.88,87.88,"Annual",7,87.88,1.98111526687524,1.21521231374841
"AC.1-14","AC","0-10%",2015,28.21,34.03,82.9,"Annual",8,82.9,1.57855659863264,1.14447800801975
"AC.1-15","AC","0-10%",2008,16.5,94.62,17.44,"Annual",1,17.44,-1.55475888325242,0.430815868753099
"AC.1-15","AC","0-10%",2009,40.4,161.73,24.98,"Annual",2,24.98,-1.09967923995631,0.523367804682179
"AC.1-15","AC","0-10%",2012,21.98,147.29,14.92,"Annual",5,14.92,-1.74088939555642,0.396577957324335
"AC.1-15","AC","0-10%",2013,10.77,173.51,6.21,"Annual",6,6.21,-2.71489734457546,0.251852780770985
"AC.1-15","AC","0-10%",2015,32.56,120.71,26.97,"Annual",8,26.97,-0.99614517848038,0.54606263626245
"AC.1-16","AC","0-10%",2008,63.32,143.43,44.15,"Annual",1,44.15,-0.235076598465241,0.726763866717187
"AC.1-16","AC","0-10%",2009,95.16,239.69,39.7,"Annual",2,39.7,-0.417980916039995,0.681655405573198
"AC.1-16","AC","0-10%",2012,88.63,207.46,42.72,"Annual",5,42.72,-0.293284328000451,0.712338459284451
"AC.1-16","AC","0-10%",2013,60.23,192.62,31.27,"Annual",6,31.27,-0.787526613663764,0.593415501287031
"AC.1-16","AC","0-10%",2014,114.12,284.04,40.18,"Annual",7,40.18,-0.397970693815014,0.68655563603316
"AC.1-16","AC","0-10%",2015,184.2,355.73,51.78,"Annual",8,51.78,0.0712301015703667,0.803201925378013
"AC.1-17","AC","0-10%",2008,0,13.1,0.59,"Annual",1,0,-5.12688545430643,0
"AC.1-17","AC","0-10%",2009,0,4.09,0.59,"Annual",2,0,-5.12688545430643,0
"AC.1-17","AC","0-10%",2012,0,17.04,0.59,"Annual",5,0,-5.12688545430643,0
"AC.1-17","AC","0-10%",2013,0,9.35,0.59,"Annual",6,0,-5.12688545430643,0
"AC.1-17","AC","0-10%",2015,0,8.44,0.59,"Annual",8,0,-5.12688545430643,0
"AC.1-18","AC","0-10%",2008,31.3,74.76,41.87,"Annual",1,41.87,-0.328112301682207,0.70373558769131
"AC.1-18","AC","0-10%",2009,26.51,188.51,14.06,"Annual",2,14.06,-1.81031549196433,0.384360815832915
"AC.1-18","AC","0-10%",2012,36.82,139.83,26.33,"Annual",5,26.33,-1.0288866871865,0.538824807944893
"AC.1-18","AC","0-10%",2013,59.46,136.01,43.72,"Annual",6,43.72,-0.252533568937851,0.72243186469678
"AC.1-18","AC","0-10%",2015,1.4,235.88,0.59,"Annual",8,0.59,-5.12688545430643,0.0768871899878212
"AC.1-19","AC","0-10%",2008,109.84,234.39,46.86,"Annual",1,46.86,-0.125765507252018,0.753977487252522
"AC.1-19","AC","0-10%",2009,67,228,29.39,"Annual",2,29.39,-0.876517297097429,0.572964449339021
"AC.1-19","AC","0-10%",2012,39.67,101.34,39.15,"Annual",5,39.15,-0.441011396996724,0.676028070887804
"AC.1-19","AC","0-10%",2013,10.28,125.26,8.21,"Annual",6,8.21,-2.41415043576666,0.290604024452683
"AC.1-19","AC","0-10%",2014,25.81,179.12,14.41,"Annual",7,14.41,-1.78164604388209,0.38936936325514
"AC.1-19","AC","0-10%",2015,30.8,121.21,25.41,"Annual",8,25.41,-1.076863652635,0.528320247605085
"AC.1-2","AC","0-10%",2007,64.28,102.45,62.74,"Annual",0,62.74,0.52107883758909,0.914218598900074
"AC.1-2","AC","0-10%",2008,24.26,24.26,99.41,"Annual",1,100,5.12688545430642,1.5707963267949
"AC.1-2","AC","0-10%",2009,33.53,87.76,38.21,"Annual",2,38.21,-0.48064427761408,0.66637731375729
"AC.1-2","AC","0-10%",2012,27.45,67.97,40.39,"Annual",5,40.39,-0.389241115656514,0.688696436878292
"AC.1-2","AC","0-10%",2013,51.05,89.51,57.03,"Annual",6,57.03,0.283075247381544,0.85593186768798
"AC.1-2","AC","0-10%",2014,8.91,99.98,8.91,"Annual",7,8.91,-2.324673787274,0.303116665810514
"AC.1-2","AC","0-10%",2015,0,149.65,0.59,"Annual",8,0,-5.12688545430643,0
"AC.1-20","AC","0-10%",2008,0,2.55,0.59,"Annual",1,0,-5.12688545430643,0
"AC.1-20","AC","0-10%",2009,9.78,29.58,33.06,"Annual",2,33.06,-0.705472603390302,0.612577576823485
"AC.1-20","AC","0-10%",2012,13.86,35.94,38.56,"Annual",5,38.56,-0.465845619097072,0.669975761063307
"AC.1-20","AC","0-10%",2013,0,10.59,0.59,"Annual",6,0,-5.12688545430643,0
"AC.1-20","AC","0-10%",2014,3.1,41.21,7.52,"Annual",7,7.52,-2.50942626696232,0.277784947422792
"AC.1-20","AC","0-10%",2015,15.82,32.61,48.51,"Annual",8,48.51,-0.0596176518009249,0.770495957216372
"AC.1-3","AC","0-10%",2007,7.45,80.83,9.22,"Annual",0,9.22,-2.28706395945982,0.308515465753584
"AC.1-3","AC","0-10%",2008,13.48,13.48,99.41,"Annual",1,100,5.12688545430642,1.5707963267949
"AC.1-3","AC","0-10%",2009,26.4,42,62.86,"Annual",2,62.86,0.526215475444862,0.915459965607062
"AC.1-3","AC","0-10%",2012,10.35,10.35,99.41,"Annual",5,100,5.12688545430642,1.5707963267949
"AC.1-3","AC","0-10%",2013,2.41,60.44,3.99,"Annual",6,3.99,-3.18066112180776,0.201102612587015
"AC.1-3","AC","0-10%",2014,3.91,24.18,16.17,"Annual",7,16.17,-1.64563326506075,0.413830455102466
"AC.1-3","AC","0-10%",2015,16.93,28.89,58.6,"Annual",8,58.6,0.347453815751698,0.871827947309003
"AC.1-4","AC","0-10%",2007,3.42,46.33,7.38,"Annual",0,7.38,-2.52973146244022,0.275119094049378
"AC.1-4","AC","0-10%",2008,9.87,74.85,13.19,"Annual",1,13.19,-1.88426285567449,0.371679103902786
"AC.1-4","AC","0-10%",2009,9.51,87.04,10.93,"Annual",2,10.93,-2.09791127525533,0.336945084977516
"AC.1-4","AC","0-10%",2012,30.46,136.43,22.33,"Annual",5,22.33,-1.24653801657949,0.492177776082672
"AC.1-4","AC","0-10%",2013,55.22,156.14,35.37,"Annual",6,35.37,-0.602814696057415,0.636925809375815
"AC.1-4","AC","0-10%",2014,55.47,140.69,39.43,"Annual",7,39.43,-0.42927277310332,0.678894608109447
"AC.1-4","AC","0-10%",2015,22.85,111.19,20.55,"Annual",8,20.55,-1.35226695204048,0.470487732433524
"AC.1-5","AC","0-10%",2007,133.4,191.78,69.56,"Annual",0,69.56,0.826432156492597,0.986365736642058
"AC.1-5","AC","0-10%",2008,166.99,265.57,62.88,"Annual",1,62.88,0.527072240202951,0.915666939609925
"AC.1-5","AC","0-10%",2009,91.54,163.33,56.05,"Annual",2,56.05,0.243191525386983,0.846046774696145
"AC.1-5","AC","0-10%",2012,124.72,140.5,88.77,"Annual",5,88.77,2.06745998632988,1.2290723089487
"AC.1-5","AC","0-10%",2013,14.26,39.36,36.23,"Annual",6,36.23,-0.565395355420194,0.645895279430008
"AC.1-5","AC","0-10%",2014,99.15,182.28,54.39,"Annual",7,54.39,0.17605332271126,0.82935476297347
"AC.1-5","AC","0-10%",2015,92.06,139.39,66.04,"Annual",8,66.04,0.665077257608781,0.948685167649887
"AC.1-6","AC","0-10%",2008,25.2,25.2,99.41,"Annual",1,100,5.12688545430642,1.5707963267949
"AC.1-6","AC","0-10%",2009,42.9,171.43,25.02,"Annual",2,25.02,-1.097545906269,0.523829684930375
"AC.1-6","AC","0-10%",2012,52.26,110.71,47.2,"Annual",5,47.2,-0.112117298120706,0.757383508039706
"AC.1-6","AC","0-10%",2013,23.76,127.51,18.63,"Annual",6,18.63,-1.47423347009507,0.44629326756991
"AC.1-6","AC","0-10%",2015,7.77,112.71,6.89,"Annual",8,6.89,-2.60371050487487,0.265599811900832
"AC.1-7","AC","0-10%",2008,30.86,51.4,60.04,"Annual",1,60.04,0.407132052984908,0.886485406154818
"AC.1-7","AC","0-10%",2009,77.76,196.19,39.64,"Annual",2,39.64,-0.420487924437861,0.681042175390006
"AC.1-7","AC","0-10%",2012,25.74,71.91,35.79,"Annual",5,35.79,-0.584490437028023,0.641312204340432
"AC.1-7","AC","0-10%",2013,28.3,148.91,19,"Annual",6,19,-1.450010175506,0.451026811796262
"AC.1-7","AC","0-10%",2014,51.49,167.13,30.81,"Annual",7,30.81,-0.809017030902143,0.58844418902259
"AC.1-7","AC","0-10%",2015,38.8,115.04,33.73,"Annual",8,33.73,-0.675349657026577,0.619680803551754
"AC.1-8","AC","0-10%",2008,55.61,58.47,95.11,"Annual",1,95.11,2.96784181300751,1.3478197929234
"AC.1-8","AC","0-10%",2009,57,63.29,90.06,"Annual",2,90.06,2.20390909420494,1.25004710996973
"AC.1-8","AC","0-10%",2012,46.97,46.97,99.41,"Annual",5,100,5.12688545430642,1.5707963267949
"AC.1-8","AC","0-10%",2013,65.64,72.43,90.63,"Annual",6,90.63,2.26927218781636,1.25969786177589
"AC.1-8","AC","0-10%",2014,53.8,68.7,78.31,"Annual",7,78.31,1.28382398392406,1.0863423455202
"AC.1-8","AC","0-10%",2015,54.81,54.81,99.41,"Annual",8,100,5.12688545430642,1.5707963267949
