"","parm","pCoverHu","pCoverHl","pCoverHa","pCoverSu","pCoverSl","pCoverSa","pCoverTu","pCoverTl","pCoverTa","pCoverDu","pCoverDl","pCoverDa","pCoverUu","pCoverUl","pCoverUa"
"1","sigma_b","0.35","0.01","0.00","0.00","0.00","0.00","0.27","0.00","0.00","0.11","0.07","0.00","0.00","0.00","0.00"
"2","sigma_a","18.99","0.92","0.21","9.14","1.79","0.17","24.31","2.52","0.34","0.32","0.66","0.03","4.80","1.42","0.10"
"3","sigma_t","0.44","0.02","0.00","0.05","0.03","0.00","0.25","0.02","0.00","0.03","0.01","0.00","0.12","0.08","0.00"
"4","rho_at","-0.11","-0.43","-0.24","1.00","-1.00","-1.00","0.05","-1.00","-1.00","1.00","-1.00","1.00","-0.31","-0.20","-0.14"
"5","sigma_e","1.37","0.06","0.01","3.07","0.60","0.05","3.50","0.39","0.04","0.54","0.34","0.02","0.42","0.33","0.02"
"6","beta0","53.37","0.20","0.83","8.29","-3.34","0.24","39.69","-0.46","0.68","1.20","-4.56","0.11","3.15","-4.20","0.15"
"7","se_beta0","3.60","0.17","0.04","1.76","0.35","0.03","4.55","0.47","0.06","0.13","0.14","0.01","0.98","0.30","0.02"
"8","beta1","-0.52","-0.03","-0.01","0.31","0.06","0.01","0.18","0.01","0.00","0.04","0.03","0.00","0.02","0.01","0.00"
"9","se_beta1","0.10","0.01","0.00","0.09","0.02","0.00","0.12","0.01","0.00","0.02","0.01","0.00","0.03","0.02","0.00"
"10","tStat","-5.03","-5.17","-5.20","3.53","3.55","4.52","1.50","0.80","1.63","1.91","2.18","2.25","0.63","0.63","0.56"
"11","DDF","20.24","24.66","20.95","4.99","6.15","4.89","5.87","5.96","4.75","6.13","5.55","5.50","19.31","15.80","15.53"
"12","p","0.0001","0.0000","0.0000","0.0168","0.0115","0.0066","0.1851","0.4528","0.1677","0.1042","0.0758","0.0691","0.5383","0.5378","0.5862"
"13","logLik","-342.42","61.93","257.04","-406.10","-175.87","167.07","-439.55","-136.90","151.11","-132.79","-90.28","317.02","-155.89","-102.43","248.71"
