"","parm","pCover0.10u","pCover0.10l","pCover0.10a","pCover11.49u","pCover11.49l","pCover11.49a","pCover50.100u","pCover50.100l","pCover50.100a"
"1","sigma_b","4.26","0.11","0.04","5.47","0.21","0.05","6.12","0.58","0.10"
"2","sigma_a","21.05","1.02","0.24","16.45","0.94","0.19","10.26","0.60","0.10"
"3","sigma_t","1.88","0.15","0.02","3.06","0.15","0.03","3.74","0.26","0.05"
"4","rho_at","-0.18","0.16","-0.06","-0.54","-0.44","-0.41","-0.96","-0.93","-1.00"
"5","sigma_e","4.96","0.38","0.06","5.57","0.31","0.07","5.05","0.43","0.08"
"6","beta0","47.52","-0.05","0.76","41.06","-0.57","0.67","12.56","-2.44","0.31"
"7","se_beta0","5.76","0.30","0.07","5.88","0.30","0.07","5.34","0.47","0.08"
"8","beta1","-1.62","-0.12","-0.02","0.73","0.04","0.01","0.56","-0.01","0.00"
"9","se_beta1","0.87","0.05","0.01","1.13","0.05","0.01","1.23","0.10","0.02"
"10","tStat","-1.86","-2.33","-2.07","0.65","0.80","0.68","0.45","-0.09","0.01"
"11","DDF","4.31","3.61","4.11","7.00","6.51","6.51","9.05","6.36","6.96"
"12","p","0.1318","0.0876","0.1058","0.5376","0.4514","0.5218","0.6601","0.9283","0.9925"
"13","logLik","-607.74","-262.67","-35.32","-617.03","-238.84","-37.18","-597.15","-273.22","-46.16"
