"Park_code","Unit_code","Location_code","Location_type","Location_status","Location_name","Panel_name","Panel_type","Firing_order","UTME_public","UTMN_public","Public_offset","Location_desc","Location_notes","Loc_established"
"SAJH","AC","1-1","Transect","Active",,"1","Annual",1,497813,5368084,"Actual",,,5/23/2007 0:00:00
"SAJH","AC","1-10","Transect","Active",,"1","Annual",35,499927.5,5366957,"Actual",,,4/29/2008 0:00:00
"SAJH","AC","1-11","Transect","Active",,"1","Annual",36,501701,5366813,"Actual",,,4/28/2008 0:00:00
"SAJH","AC","1-12","Transect","Active",,"1","Annual",37,498255,5367328.87,"Actual",,,5/1/2008 0:00:00
"SAJH","AC","1-13","Transect","Active",,"1","Annual",38,499340.5,5367020.14,"Actual",,,4/30/2008 0:00:00
"SAJH","AC","1-14","Transect","Active",,"1","Annual",39,500794.5,5366930.4,"Actual",,,4/29/2008 0:00:00
"SAJH","AC","1-15","Transect","Active",,"1","Annual",40,498615,5367195,"Actual",,,4/30/2008 0:00:00
"SAJH","AC","1-16","Transect","Active",,"1","Annual",41,499908,5366960,"Actual",,,4/29/2008 0:00:00
"SAJH","AC","1-17","Transect","Active",,"1","Annual",42,501520,5366826,"Actual",,,4/29/2008 0:00:00
"SAJH","AC","1-18","Transect","Active",,"1","Annual",43,497924,5367406.33,"Actual",,,5/1/2008 0:00:00
"SAJH","AC","1-19","Transect","Active",,"1","Annual",44,499705,5366996.48,"Actual",,,4/30/2008 0:00:00
"SAJH","AC","1-2","Transect","Active",,"1","Annual",2,498741,5367241.09,"Actual",,,5/7/2007 0:00:00
"SAJH","AC","1-20","Transect","Active",,"1","Annual",45,501304.5,5366843,"Actual",,,4/29/2008 0:00:00
"SAJH","AC","1-3","Transect","Active",,"1","Annual",3,500519.5,5366892.39,"Actual",,,5/8/2007 0:00:00
"SAJH","AC","1-4","Transect","Active",,"1","Annual",4,498262,5367324.44,"Actual",,,5/8/2007 0:00:00
"SAJH","AC","1-5","Transect","Active",,"1","Annual",5,500265.5,5366900,"Actual",,,5/7/2007 0:00:00
"SAJH","AC","1-6","Transect","Active",,"1","Annual",31,498137,5367383.96,"Actual",,,5/1/2008 0:00:00
"SAJH","AC","1-7","Transect","Active",,"1","Annual",32,499732,5366991.25,"Actual",,,4/30/2008 0:00:00
"SAJH","AC","1-8","Transect","Active",,"1","Annual",33,500972,5366886,"Actual",,,4/29/2008 0:00:00
"SAJH","AC","1-9","Transect","Active",,"1","Annual",34,498860,5367133.34,"Actual",,,4/30/2008 0:00:00
"SAJH","AC","2-1","Transect","Active",,"2","Alternating",6,501193.5,5366850,"Actual",,,5/9/2007 0:00:00
"SAJH","AC","2-2","Transect","Active",,"2","Alternating",7,498317,5367132.47,"Actual",,,5/22/2007 0:00:00
"SAJH","AC","2-3","Transect","Active",,"2","Alternating",8,499432.5,5367088,"Actual",,,5/9/2007 0:00:00
"SAJH","AC","2-4","Transect","Active",,"2","Alternating",9,501083,5366866,"Actual",,,5/9/2007 0:00:00
"SAJH","AC","2-5","Transect","Active",,"2","Alternating",10,498869,5367130,"Actual",,,5/8/2007 0:00:00
"SAJH","AC","3-1","Transect","Active",,"3","Alternating",11,499831,5366972,"Actual",,,5/1/2008 0:00:00
"SAJH","AC","3-2","Transect","Active",,"3","Alternating",12,501612,5366822,"Actual",,,5/1/2008 0:00:00
"SAJH","AC","3-3","Transect","Active",,"3","Alternating",13,497798.5,5368098,"Actual",,,5/1/2008 0:00:00
"SAJH","AC","3-4","Transect","Active",,"3","Alternating",14,499460,5367014.86,"Actual",,,5/1/2008 0:00:00
"SAJH","AC","3-5","Transect","Active",,"3","Alternating",15,500703.5,5366879.05,"Actual",,,5/1/2008 0:00:00
