"Park_code","Loc_code","Unit_code","Location_code","Calendar_year","Start_date","Observation_ID","Segment_num","Segment_length_m","No_GPS","UTME","UTMN","Field_coord","Veg_type","Origin","Cover_class","Is_grazed","Substrate","Obs_notes","Flag","Office_notes"
"SAJH","AC.1-1","AC","1-1","2015",5/11/2015 0:00:00,7458,1,559.17,1,497813,5368083.625,5368084,"T","N","NA",0,,"digitized in GIS. Pers com.",0,
"SAJH","AC.1-1","AC","1-1","2015",5/11/2015 0:00:00,7459,2,0.00,1,497813,5368642.798,5368643,"End","NA","NA",0,,"Added in GIS - No change between 2014 and 2015. Not forest disturbance.",0,
"SAJH","AC.1-1","AC","1-1","2014",6/12/2014 0:00:00,7485,1,559.17,1,497813,5368083.625,5368084,"T","N","NA",0,,,0,"Added in GIS"
"SAJH","AC.1-1","AC","1-1","2014",6/12/2014 0:00:00,7486,2,0.00,1,497813,5368642.798,5368643,"End","NA","NA",0,,,0,"Added in GIS"
"SAJH","AC.1-1","AC","1-1","2013",5/7/2013 0:00:00,7512,1,559.37,1,497813,5368083.625,5368084,"T","N","NA",0,,,0,"Added in GIS"
"SAJH","AC.1-1","AC","1-1","2013",5/7/2013 0:00:00,7513,2,0.00,1,497813,5368643,5368643,"End","NA","NA",0,,,0,"Added in GIS"
"SAJH","AC.1-1","AC","1-1","2012",5/30/2012 0:00:00,2718,1,42.11,0,497812.117,5368084.248,5368084,"S","N","NA",0,,,0,"Moved to transect start in GIS"
"SAJH","AC.1-1","AC","1-1","2012",5/30/2012 0:00:00,2719,2,371.91,0,497814.207,5368126.362,5368128,"T","N","NA",0,,,0,
"SAJH","AC.1-1","AC","1-1","2012",5/30/2012 0:00:00,2720,3,0.34,0,497812.505,5368498.275,5368499,"D","NA","NA",0,,"Trail, new since last survey",0,
"SAJH","AC.1-1","AC","1-1","2012",5/30/2012 0:00:00,2721,4,144.37,0,497812.756,5368498.623,5368498,"T","N","NA",0,,,0,
"SAJH","AC.1-1","AC","1-1","2012",5/30/2012 0:00:00,7431,5,0.00,1,497813,5368643,5368643,"End","NA","NA",0,,"field GPS point 5368499, offset 0 degrees, 145m",0,"moved to transect end in GIS"
"SAJH","AC.1-1","AC","1-1","2009",6/2/2009 0:00:00,2563,1,560.00,1,497813,5368083,5368083,"T","N","NA",0,,,0,
"SAJH","AC.1-1","AC","1-1","2009",6/2/2009 0:00:00,2564,2,0.00,1,497813,5368643,5368643,"End","NA","NA",0,,,0,
"SAJH","AC.1-1","AC","1-1","2008",5/1/2008 0:00:00,3,1,559.17,1,497813,5368083.63,5368084,"T","N","NA",0,,,0,"Digitized in GIS"
