LocCode,Panel_type,UTME,UTMN,Start_End,Source,Length_m
AC.1-1,Annual,497813,5368084,Start,GRTS,559.17
AC.1-1,Annual,497813,5368643,End,GRTS,
AC.1-10,Annual,499928,5366957,Start,GRTS,1255.89
AC.1-10,Annual,499928,5368213,End,2014,
AC.1-11,Annual,501701,5366813,Start,2008,816.49
AC.1-11,Annual,501701,5367630,End,2015,
AC.1-12,Annual,498255,5367329,Start,2012,1314.13
AC.1-12,Annual,498255,5368643,End,GRTS,
AC.1-13,Annual,499341,5367020,Start,2015,1622.86
AC.1-13,Annual,499341,5368643,End,GRTS,
AC.1-14,Annual,500795,5366930,Start,2013,780.54
AC.1-14,Annual,500795,5367711,End,GRTS,
AC.1-15,Annual,498615,5367195,Start,2012,1447.6
AC.1-15,Annual,498615,5368643,End,GRTS,
AC.1-16,Annual,499908,5366960,Start,GRTS,1262.93
AC.1-16,Annual,499908,5368223,End,2015,
AC.1-17,Annual,501520,5366826,Start,2008,889.62
AC.1-17,Annual,501520,5367715,End,2012,
AC.1-18,Annual,497924,5367406,Start,2012,1236.67
AC.1-18,Annual,497924,5368643,End,GRTS,
AC.1-19,Annual,499705,5366996,Start,2015,1397.8
AC.1-19,Annual,499705,5368394,End,2015,
AC.1-2,Annual,498741,5367241,Start,2012,1401.91
AC.1-2,Annual,498741,5368643,End,GRTS,
AC.1-20,Annual,501305,5366843,Start,2009,846.89
AC.1-20,Annual,501305,5367690,End,GRTS,
AC.1-3,Annual,500520,5366892,Start,2014,959.99
AC.1-3,Annual,500520,5367852,End,GRTS,
AC.1-4,Annual,498262,5367324,Start,2013,1318.56
AC.1-4,Annual,498262,5368643,End,GRTS,
AC.1-5,Annual,500266,5366900,Start,GRTS,1095.09
AC.1-5,Annual,500266,5367995,End,GRTS,
AC.1-6,Annual,498137,5367384,Start,2012,1259.04
AC.1-6,Annual,498137,5368643,End,GRTS,
AC.1-7,Annual,499732,5366991,Start,2015,1377.48
AC.1-7,Annual,499732,5368369,End,2013,
AC.1-8,Annual,500972,5366886,Start,2009,773.99
AC.1-8,Annual,500972,5367660,End,2014,
AC.1-9,Annual,498860,5367133,Start,2012,1509.66
AC.1-9,Annual,498860,5368643,End,GRTS,
AC.2-1,Rotating Year 1,501194,5366850,Start,2007,760.05
AC.2-1,Rotating Year 1,501194,5367610,End,GRTS,
AC.2-2,Rotating Year 1,498317,5367132,Start,2014,1510.53
AC.2-2,Rotating Year 1,498317,5368643,End,GRTS,
AC.2-3,Rotating Year 1,499433,5367088,Start,2007,1555.47
AC.2-3,Rotating Year 1,499433,5368643,End,GRTS,
AC.2-4,Rotating Year 1,501083,5366866,Start,2007,756.9
AC.2-4,Rotating Year 1,501083,5367622,End,GRTS,
AC.2-5,Rotating Year 1,498869,5367130,Start,2007,1512.84
AC.2-5,Rotating Year 1,498869,5368643,End,GRTS,
AC.3-1,Rotating Year 2,499831,5366972,Start,GRTS,1307.93
AC.3-1,Rotating Year 2,499831,5368280,End,2015,
AC.3-2,Rotating Year 2,501612,5366822,Start,2015,835.17
AC.3-2,Rotating Year 2,501612,5367657,End,2015,
AC.3-3,Rotating Year 2,497799,5368098,Start,GRTS,544.64
AC.3-3,Rotating Year 2,497799,5368643,End,GRTS,
AC.3-4,Rotating Year 2,499460,5367015,Start,2015,1628.14
AC.3-4,Rotating Year 2,499460,5368643,End,GRTS,
AC.3-5,Rotating Year 2,500704,5366879,Start,2015,869.35
AC.3-5,Rotating Year 2,500704,5367748,End,2014,
AC.4-1,Rotating Year 3,498523,5367229,Start,2009,1414.49
AC.4-1,Rotating Year 3,498523,5368643,End,GRTS,
AC.4-2,Rotating Year 3,500217,5366906,Start,GRTS,1122.31
AC.4-2,Rotating Year 3,500217,5368028,End,GRTS,
AC.4-3,Rotating Year 3,501429,5366832,Start,2009,891.19
AC.4-3,Rotating Year 3,501429,5367723,End,GRTS,
AC.4-4,Rotating Year 3,497724,5368334,Start,GRTS,309.05
AC.4-4,Rotating Year 3,497724,5368643,End,GRTS,
AC.4-5,Rotating Year 3,499613,5366992,Start,GRTS,1515.79
AC.4-5,Rotating Year 3,499613,5368508,End,GRTS,
AC.5-1,Rotating Year 4,501035,5366876,Start,2012,766.52
AC.5-1,Rotating Year 4,501035,5367643,End,GRTS,
AC.5-2,Rotating Year 4,498889,5367126,Start,2012,1517.09
AC.5-2,Rotating Year 4,498889,5368643,End,GRTS,
AC.5-3,Rotating Year 4,500550,5366869,Start,GRTS,967.85
AC.5-3,Rotating Year 4,500550,5367837,End,GRTS,
AC.5-4,Rotating Year 4,501793,5366803,Start,2012,817.2
AC.5-4,Rotating Year 4,501793,5367620,End,2012,
AC.5-5,Rotating Year 4,497702,5368380,Start,GRTS,262.02
AC.5-5,Rotating Year 4,497702,5368643,End,GRTS,
AC.6-1,Rotating Year 5,499110,5367000,Start,2013,1643.24
AC.6-1,Rotating Year 5,499110,5368643,End,GRTS,
AC.6-2,Rotating Year 5,500611,5367003,Start,2013,799.81
AC.6-2,Rotating Year 5,500611,5367803,End,GRTS,
AC.6-3,Rotating Year 5,498642,5367219,Start,2013,1423.59
AC.6-3,Rotating Year 5,498642,5368643,End,GRTS,
AC.6-4,Rotating Year 5,499950,5366954,Start,2013,1246.86
AC.6-4,Rotating Year 5,499950,5368201,End,GRTS,
AC.6-5,Rotating Year 5,501290,5366846,Start,2013,833.9
AC.6-5,Rotating Year 5,501290,5367680,End,GRTS,
